NumH,Regg,sx,NacCria,Padre,RegPad,Madre,RegMad,CONS,DEP_PN,EX_PN,DEP_MAT_PN,EX_MAT_PN,DEP_PD,EX_P205,DEP_LECHE,EX_LECHE,DEP_MAT_TOTAL,DEP_P365,EX_P365,DEP_CE365,EX_CE365,DEP_P550,EX_P550,DEP_CE550,EX_CE_550,DEP_P730,EX_P730,DEP_CE730,EX_CE730,MGT,CRIADOR,ULTIMO_PROPIETARIO
890-20,01-62442,H,13/02/2020,204-13,01-49352,996-13,01-47175,"0,05","-0,416020314547837","0,573124334320812","0,00442136304062907","0,953474591468505","-0,188724770642202","0,424909104048591","0,502032765399738","0,294828712679212","0,407670380078637","-0,34273394495413","0,312581338620795","0,0898682830930537","0,456435464587638","0,0424325032765394","0,350596903920899","0,0205327653997377","0,400559310457303","-0,476889252948886",0,"-0,0274272608125819",0,"-0,000304583870836496",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
907-19,01-62441,M,12/12/2019,204-13,01-49352,948-11,01-44536,"0,01","0,151479685452163","0,5803340113821","0,195921363040629","0,952465396918063","0,270275229357798","0,435019699347582","1,53053276539974","0,290282415636933","1,66567038007864","1,26176605504587","0,305730244076142","0,153868283093054","0,456435464587638","0,960932503276539","0,33870519232422","0,455032765399738","0,386285409911438","-0,359889252948886",0,"-0,0209272608125819",0,"0,0936728106617318",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
888-19,01-61607,H,21/11/2019,204-13,01-49352,982-12,01-53583,"0,03","-0,0410203145478375","0,56577701167775","0,150421363040629","0,952465396918063","1,4802752293578","0,422335060523444","0,780532765399738","0,280948563233238","1,52067038007864","0,67926605504587","0,298705457594643","0,201368283093054","0,437697323921932","-0,660567496723461","0,313389322337318","0,185032765399738","0,386285409911438","-0,376389252948886",0,"-0,0049272608125819",0,"0,0662191740168506",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
903/19    ,01-61605,M,31/10/2019,208/14    ,01-51556,796/09    ,01-37620,"0,02","-0,212520314547837","0,5803340113821","0,0969213630406291","0,955458163456048","-2,0492247706422","0,456765782910255","-1,62496723460026","0,355472921976978","-2,64957961992136","-0,16573394495413","0,347603758633121","0,111868283093054","0,474249175752319","1,42993250327654","0,365770681830192","0,268032765399738","0,414251708037445","-0,148389252948886",0,"0,0275727391874181",0,"-0,0205979930522612",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
901/19    ,01-61604,M,25/10/2019,208/14    ,01-51556,688/07    ,01-32664,0,"-0,347520314547837","0,59436036939273","0,106921363040629","0,954472168184527","0,542275229357798","0,461424556519507","-0,331967234600262","0,351793899282043","-0,0608296199213629","1,17226605504587","0,341535979651962","0,147368283093054","0,474249175752319","2,26143250327654","0,378475685243966","0,244032765399738","0,400559310457303","0,0406107470511141","0,0264663482486986","0,0275727391874181","0,0742269619025209","0,08017912296443",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
882/19    ,01-61606,H,25/10/2019,208/14    ,01-51556,646/06    ,01-29873,"0,01","-0,150020314547837","0,59436036939273","0,144921363040629","0,955458163456048","-0,0667247706422018","0,456765782910255","-0,224967234600262","0,373246853151507","-0,258329619921363","0,97476605504587","0,365121201881638","0,179368283093054","0,456435464587638","0,592932503276539","0,39241147024572","0,171532765399738","0,386285409911438","0,0166107470511141",0,"0,0080727391874181",0,"0,0463601169213821",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
858/19,01-61074,H,21/08/2019,208/14    ,01-51556,968/12    ,01-55310,"0,05","-0,122020314547837","0,5803340113821","0,0494213630406291","0,954472168184527","-1,0752247706422","0,452046177943348","-1,04996723460026","0,348070434919321","-1,58757961992136","0,32526605504587","0,350592964258129","0,217868283093054","0,474249175752319","-0,0945674967234607","0,354460214904614","0,146532765399738","0,400559310457303","0,0571107470511141",0,"0,0295727391874181",0,"0,00211065258074481",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
885/19,01-61071,M,09/08/2019,204-13,01-49352,634-06,01-29863,"0,01","0,0569796854521625","0,5803340113821","0,145921363040629","0,953474591468505","0,174275229357798","0,430000859328595","0,756532765399738","0,32873300689762","0,843670380078637","-0,0412339449541301","0,341535979651962","0,195368283093054","0,456435464587638","-0,292567496723461","0,362045639766628","0,304032765399738","0,414251708037445","-0,526889252948886",0,"-0,0199272608125819",0,"0,0380434089700162",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
856/19,01-61073,H,09/08/2019,208/14    ,01-51556,970/12    ,01-44962,"0,02","-0,0845203145478375","0,59436036939273","0,154421363040629","0,954472168184527","-1,1462247706422","0,461424556519507","-1,20396723460026","0,336618556561276","-1,77707961992136","0,31076605504587","0,341535979651962","0,138868283093054","0,474249175752319","2,43943250327654","0,373092181655832","0,257032765399738","0,386285409911438","0,0231107470511141",0,"0,0335727391874181",0,"0,0251760701176109",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
854/19,01-61068,H,22/07/2019,204/13    ,01-49352,592/14    ,01-52157,"0,04","-0,248020314547837","0,587411111123634","0,132921363040629","0,952465396918063","0,454275229357798","0,435019699347582","0,887032765399738","0,255997890057082","1,11417038007864","0,24226605504587","0,276454935476302","0,123868283093054","0,437697323921932","0,337432503276539","0,330507748756894","0,121532765399738","0,371362959597742","-0,413389252948886",0,"-0,0044272608125819",0,"0,0411256689731772",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
883/19    ,01-61070,M,22/07/2019,204/13    ,01-49352,584/14    ,01-49460,"0,04","0,0124796854521625","0,573124334320812","0,164421363040629","0,952465396918063","3,3587752293578","0,427464258071603","2,23053276539974","0,276152853560662","3,90992038007864","0,46426605504587","0,359390743271451","-0,0426317169069463","0,53802758684897","0,671432503276539","0,332578440943577","0,262532765399738","0,371362959597742","-0,414389252948886",0,"-0,0039272608125819",0,"0,112642360306132",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
879/19    ,01-61069,M,04/07/2019,204/13    ,01-49352,950/11    ,01-52194,"0,02","0,350979685452163","0,558286609031449","0,0514213630406291","0,952465396918063","0,369775229357798","0,41449606089202","1,38853276539974","0,271265244099239","1,57342038007864","2,56926605504587","0,350592964258129","0,162368283093054","0,52306451918293","0,156432503276539","0,306695213415032","0,252532765399738","0,371362959597742","-0,379889252948886",0,"-0,0379272608125819",0,"0,0938002296550814",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
873/19    ,01-60848,M,28/05/2019,204/13    ,01-49352,822/09    ,01-53581,"0,04","-0,319020314547837","0,56577701167775","0,232921363040629","0,952465396918063","1,4627752293578","0,419741779979787","0,993032765399738","0,280948563233238","1,72442038007864","0,15626605504587","0,350592964258129","0,222368283093054","0,53802758684897","-0,86656749672346","0,311175655520844","0,265032765399738","0,400559310457303","-0,350389252948886",0,"0,0010727391874181",0,"0,0654161722765702",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
875/19    ,01-60849,M,28/05/2019,204/13    ,01-49352,930/11    ,01-44533,"0,02","-0,622020314547838","0,558286609031449","-0,0485786369593709","0,952465396918063","-0,459724770642202","0,417128903629505","0,833532765399738","0,299299498148255","0,603670380078637","1,63076605504587","0,359390743271451","0,194868283093054","0,53802758684897","-0,388567496723461","0,315585784026614","0,670532765399738","0,400559310457303","-0,364889252948886",0,"-0,0239272608125819",0,"0,0790050236118999",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
871/19    ,01-60847,M,16/05/2019,204/13    ,01-49352,526/13    ,01-52212,"0,04","0,368479685452162","0,558286609031449","0,104921363040629","0,952465396918063","0,907275229357798","0,417128903629505","1,25303276539974","0,276152853560662","1,70667038007864","0,25776605504587","0,284082954434088","0,107868283093054","0,437697323921932","-0,392567496723461","0,311175655520844","0,151532765399738","0,386285409911438","-0,408889252948886",0,"-0,0034272608125819",0,"0,0471379157119586",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
846/19    ,01-60851,H,16/05/2019,208/14    ,01-51556,766/08    ,01-53582,"0,02","-0,481020314547838","0,5803340113821","-0,0140786369593709","0,954472168184527","0,421775229357798","0,454413702237021","-1,11546723460026","0,348070434919321","-0,904579619921363","-0,34923394495413","0,347603758633121","0,226868283093054","0,474249175752319","1,09043250327654","0,367616887983157","0,217032765399738","0,414251708037445","-0,131389252948886",0,"0,0200727391874181",0,"0,0318415028634868",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
869/19    ,01-60846,M,15/05/2019,208/14    ,01-51556,750/08    ,01-35125,"0,01","-0,250020314547837","0,59436036939273","0,185921363040629","0,954472168184527","0,799275229357798","0,456765782910255","-0,740467234600262","0,332702052642976","-0,340829619921363","0,20026605504587","0,347603758633121","0,145868283093054","0,456435464587638","0,562432503276539","0,369452435277873","0,335032765399738","0,386285409911438","-0,0178892529488859",0,"0,0335727391874181",0,"0,0492496505905209",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
844/19,01-60850,H,15/05/2019,208/14    ,01-51556,510/4     ,01-28640,"0,03","-0,0645203145478375","0,587411111123634","0,135921363040629","0,955458163456048","-0,307224770642202","0,466024323139905","-1,12146723460026","0,369770886904954","-1,27507961992136","0,92876605504587","0,353553390593274","0,133868283093054","0,491239034965346","-0,131567496723461","0,378475685243966","0,190532765399738","0,440106839131984","0,0846107470511141",0,"0,0265727391874181",0,"0,0197184235182997",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
842/19,01-60299,H,16/04/2019,47-5,01-52909,506-13,01-47178,"0,02","0,384979685452163","0,56577701167775","-0,347078636959371","0,953474591468505","1,6352752293578","0,411842868842162","-0,963467234600262","0,299299498148255","-0,145829619921363","0,73076605504587","0,312581338620795","0,354368283093054","0,474249175752319","-0,202567496723461","0,348646917412037","0,682032765399738","0,414251708037445","-0,245889252948886",0,"0,124572739187418",0,"0,103980221417134",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
859/19,01-60297,M,21/03/2019,269-6,01-28828,590-14,01-52156,"0,26","-0,300020314547837","0,509978156598157","-0,0125786369593709","0,945072555386417","0,331275229357798","0,221964461112161","1,46153276539974",0,"1,62717038007864","0,76376605504587",0,"0,0563682830930537","0,119941506211488","-1,17706749672346",0,"0,331532765399738",0,"-0,0228892529488859",0,"-0,0514272608125819",0,"0,0487230257228348",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
861/19,01-60298,M,21/03/2019,5-21,01-28281,602-14,01-52164,"0,07","-0,861020314547837","0,518467250803212","0,215921363040629","0,949367733628855","1,9752752293578","0,312931921478259","1,67603276539974","0,165856028208951","2,66367038007864","0,51926605504587",0,"0,0523682830930537","0,324307629568734","0,191432503276539","0,0783737270442906","0,257532765399738","0,18110358213654","0,0176107470511141",0,"-0,0264272608125819",0,"0,089243862955198",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
836/19,01-60294,H,15/03/2019,208-14,01-51556,756-08,01-35128,"0,02","-1,06052031454784","0,601186219458099","0,148421363040629","0,954472168184527","-0,942724770642202","0,466024323139905","-1,75996723460026","0,344301087040739","-2,23132961992136","0,63776605504587","0,359390743271451","0,0973682830930537","0,474249175752319","1,00593250327654","0,383771261632453","0,165032765399738","0,427418491836957","-0,0968892529488859",0,"0,0175727391874181",0,"-0,00113760444254236",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
832/19,01-60292,H,15/03/2019,973-4,01-28645,804-09,01-37639,"0,25","0,218479685452162","0,558286609031449","0,0509213630406291","0,948311692144628","0,0157752293577982","0,360076550813882","1,54103276539974","0,09061172985411","1,54892038007864","-1,57223394495413",0,"0,0613682830930537","0,350438322025231","0,16993250327654","0,194436791457752","0,0210327653997377","0,283304066384249","-0,147389252948886",0,"0,0090727391874181",0,"0,00270336147775793",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
834/19,01-60293,H,15/03/2019,193-13,01-47830,860-10,01-41411,0,"-0,774020314547837","0,56577701167775","0,118921363040629","0,951444547564191","0,533775229357798","0,401018483107267","1,35603276539974","0,245252859277024","1,62292038007864","0,73076605504587","0,234306537619906","0,135368283093054","0,437697323921932","0,794432503276539","0,280642818980604","0,286532765399738","0,386285409911438","0,235610747051114","0,0511264869471092","-0,0049272608125819",0,"0,0826838340076943",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
830/19    ,01-60291,H,15/03/2019,208/14    ,01-51556,578/14    ,01-49459,"0,02","-0,0700203145478375","0,59436036939273","0,0614213630406291","0,954472168184527","-1,7872247706422","0,461424556519507","-0,994967234600262","0,332702052642976","-1,88857961992136","0,67726605504587","0,410125742913073","0,130868283093054","0,474249175752319","2,00643250327654","0,378475685243966","0,0910327653997377","0,400559310457303","-0,00688925294888593",0,"0,0165727391874181",0,"0,00569197055314461",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
855/19,01-60295,M,06/03/2019,269-6,01-28828,530-13,01-52213,"0,26","-0,567020314547837","0,50129366322303","0,0489213630406291","0,946164143319075","-1,3647247706422","0,232287316654669","0,634032765399738",0,"-0,0483296199213629","0,42676605504587",0,"0,0153682830930537","0,181369062527503","-1,92406749672346",0,"0,292032765399738",0,"-0,0418892529488859",0,"-0,0479272608125819",0,"-0,013535538877827",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
857/19,01-60296,M,06/03/2019,269-6,01-28828,560-14,01-51182,"0,26","-0,361520314547837","0,509978156598157","-0,00057863695937093","0,945072555386417","-0,969724770642202","0,216608603383722","0,890532765399738",0,"0,405670380078637","1,07726605504587",0,"-0,00413171690694627","0,119941506211488","-1,39706749672346",0,"0,169032765399738",0,"-0,0293892529488859",0,"-0,0539272608125819",0,"0,00430748908718055",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
826/19,01-60290,H,06/03/2019,208/14    ,01-51556,856-10,01-41409,"0,01","-0,279520314547837","0,573124334320812","0,0319213630406291","0,954472168184527","-1,1637247706422","0,442416661684282","-0,394467234600262","0,344301087040739","-0,976329619921363","0,56176605504587","0,397512104238189","0,104868283093054","0,456435464587638","0,497932503276539","0,346684435706804","0,298032765399738","0,386285409911438","0,0791107470511141",0,"-0,0004272608125819",0,"0,0174600454734688",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
853/19,01-60289,M,28/02/2019,269-6,01-28828,169-11,01-47846,"0,02","-0,365020314547837","0,56577701167775","-0,0240786369593709","0,955458163456048","-1,3482247706422","0,439968119407269","-0,129467234600262","0,390088064425652","-0,803579619921363","-0,20173394495413","0,332198589367531","-0,0856317169069463","0,491239034965346","-2,69906749672346","0,365770681830192","0,124532765399738","0,427418491836957","-0,0168892529488859",0,"-0,0324272608125819",0,"-0,0613334027025261",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
822/19,01-60283,H,28/02/2019,722-02,01-19839,882-11,01-52149,0,"0,231479685452162","0,573124334320812","0,193921363040629","0,955458163456048","2,5152752293578","0,437502561733035","1,68103276539974","0,369770886904954","2,93867038007864","-2,06223394495413","0,389709840677183","0,104868283093054","0,474249175752319","-0,57106749672346","0,356373936818514","0,206032765399738","0,386285409911438","-0,0463892529488859",0,"0,0130727391874181",0,"0,0505453707382045",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
851/19,01-60288,M,27/02/2019,47-5,01-52909,878-11,01-52147,"0,03","0,0544796854521625","0,526770392706466","-0,137078636959371","0,953474591468505","1,4347752293578","0,384097373902437","-1,01546723460026","0,320629459259588","-0,298079619921363","-0,19423394495413","0,305730244076142","0,506368283093054","0,474249175752319","1,09093250327654","0,328422388936371","0,534532765399738","0,414251708037445","-0,340389252948886",0,"0,142072739187418",0,"0,103091751776668",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
820/19,01-60282,H,27/02/2019,204-13,01-49352,161-10,01-50173,"0,03","-0,0625203145478375","0,56577701167775","0,152921363040629","0,952465396918063","0,175275229357798","0,41449606089202","0,104032765399738","0,294828712679212","0,191670380078637","0,43276605504587","0,373527200407741","0,0413682830930537","0,456435464587638","-0,945567496723461","0,308944413739823","0,0715327653997377","0,386285409911438","-0,358889252948886",0,"-0,0004272608125819",0,"0,00458660967275632",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
816/19,01-60281,H,22/02/2019,204-13,01-49352,536-13,01-47860,"0,02","-0,400520314547838","0,573124334320812","0,0489213630406291","0,952465396918063","1,1537752293578","0,427464258071603","0,925032765399738","0,271265244099239","1,50192038007864","0,13226605504587","0,370749723051626","0,149368283093054","0,437697323921932","0,0894325032765395","0,326322080281779","0,362032765399738","0,371362959597742","-0,446389252948886",0,"-0,0314272608125819",0,"0,0649284502832769",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
808/19,01-60278,H,18/02/2019,193-13,01-47830,576-14,01-51188,0,"-0,364520314547837","0,56577701167775","-0,0200786369593709","0,951444547564191","-1,6787247706422","0,409168931624309","0,880532765399738","0,250686810500259","0,0411703800786372","1,64576605504587","0,338455804129884","0,0173682830930537","0,437697323921932","-4,59906749672346","0,412279096585795","0,0935327653997377","0,355710346695551","0,215110747051114","0,0511264869471092","-0,0169272608125819",0,"-0,0312326794420504",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
810/19,01-60279,H,18/02/2019,973-4,01-28645,528-13,01-47857,"0,01","0,101479685452163","0,558286609031449","-0,0115786369593709","0,954472168184527","-2,3172247706422","0,427464258071603","0,324032765399738","0,351793899282043","-0,834579619921363","-0,35423394495413","0,373527200407741","-0,0206317169069463","0,456435464587638","-3,98556749672346","0,420226624184874","-0,0994672346002622","0,371362959597742","-0,129889252948886",0,"-0,0209272608125819",0,"-0,0977268191263335",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
845/19    ,01-60287,M,18/02/2019,208/14    ,01-51556,832/09    ,01-39915,0,"-0,918020314547838","0,56577701167775","0,000421363040629071","0,952465396918063","-2,0482247706422","0,411842868842162","0,137532765399738","0,261193593428726","-0,886579619921363","-0,90623394495413","0,350592964258129","0,0618682830930537","0,437697323921932","-0,15756749672346","0,400832467081531","-0,430467234600262","0,591481822432995","0,148110747051114","0,0264663482486986","-0,0004272608125819",0,"-0,0703240453996584",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
812/19    ,01-60280,H,18/02/2019,47/5      ,01-52909,528/13    ,01-47857,"0,01","-0,393020314547837","0,558286609031449","-0,102578636959371","0,953474591468505","-0,256724770642202","0,409168931624309","-0,271467234600262","0,316490720993744","-0,399829619921363","1,06976605504587","0,373527200407741","0,325368283093054","0,456435464587638","1,08143250327654","0,427995679682455","0,610032765399738","0,400559310457303","-0,272389252948886",0,"0,111072739187418",0,"0,090916608072913",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES  
804/19,01-60276,H,15/02/2019,973-4,01-28645,630-06,01-29861,"0,04","-0,357520314547837","0,56577701167775","0,0234213630406291","0,955458163456048","-0,951724770642202","0,442416661684282","0,248532765399738","0,376685609961645","-0,227329619921363","-4,45523394495413","0,389709840677183","-0,0161317169069463","0,474249175752319","1,52893250327654","0,438590541046271","-0,0844672346002623","0,414251708037445","-0,279889252948886",0,"-0,0059272608125819",0,"-0,082460470904547",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
806/19,01-60277,H,15/02/2019,973-4,01-28645,650-06,01-30637,"0,02","-0,202020314547837","0,587411111123634","0,145921363040629","0,955458163456048","0,648275229357798","0,454413702237021","0,0595327653997381","0,369770886904954","0,383670380078637","-2,29773394495413","0,40513660002836","0,0123682830930537","0,474249175752319","1,05843250327654","0,434088871086393","0,0170327653997377","0,400559310457303","-0,114889252948886",0,"0,0120727391874181",0,"-0,0131118886692468",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
837/19,01-60286,M,11/02/2019,208-14,01-51556,642-06,01-29872,"0,01","-0,414020314547838","0,601186219458099","0,116921363040629","0,955458163456048","-1,0382247706422","0,463731705433182","0,834532765399738","0,36270303551441","0,315420380078637","1,13626605504587","0,341535979651962","0,0798682830930537","0,474249175752319","0,575432503276539","0,435595812583975","0,288532765399738","0,599720083959573","0,0301107470511141",0,"-0,0014272608125819",0,"0,043584585391675",INTA-LOS DIAMANTES,INTA-LOS DIAMANTES
